,rate
1990-05-22,0.7858
1990-05-23,0.7859
1990-05-24,0.7792
1990-05-25,0.7897
1990-05-26,0.7916
1990-05-27,0.7938
1990-05-28,0.794
1990-05-29,0.7859
1990-05-30,0.785
1990-05-31,0.79
1990-06-01,0.7925
1990-06-02,0.7953
1990-06-03,0.7992
1990-06-04,0.7977
1990-06-05,0.8025
1990-06-06,0.8061
1990-06-07,0.8071
1990-06-08,0.8045
1990-06-09,0.807
1990-06-10,0.808
1990-06-11,0.8162
1990-06-12,0.8205
1990-06-13,0.8293
1990-06-14,0.833
1990-06-15,0.8311
1990-06-16,0.8302
1990-06-17,0.8325
1990-06-18,0.8168
1990-06-19,0.816
1990-06-20,0.8147
1990-06-21,0.8278
1990-06-22,0.8237
1990-06-23,0.8208
1990-06-24,0.8123
1990-06-25,0.817
1990-06-26,0.8187
1990-06-27,0.821
1990-06-28,0.8267
1990-06-29,0.8316
1990-06-30,0.8335
1990-07-01,0.8291
1990-07-02,0.8266
1990-07-03,0.8288
1990-07-04,0.8315
1990-07-05,0.8303
1990-07-06,0.831
1990-07-07,0.8267
1990-07-08,0.8254
1990-07-09,0.8311
1990-07-10,0.8298
1990-07-11,0.832
1990-07-12,0.833
1990-07-13,0.8351
1990-07-14,0.8337
1990-07-15,0.8265
1990-07-16,0.814
1990-07-17,0.8183
1990-07-18,0.7888
1990-07-19,0.787
1990-07-20,0.7775
1990-07-21,0.769
1990-07-22,0.782
1990-07-23,0.782
1990-07-24,0.778
1990-07-25,0.7804
1990-07-26,0.7833
1990-07-27,0.7812
1990-07-28,0.7835
1990-07-29,0.7821
1990-07-30,0.7848
1990-07-31,0.7837
1990-08-01,0.7765
1990-08-02,0.782
1990-08-03,0.787
1990-08-04,0.7785
1990-08-05,0.7781
1990-08-06,0.7794
1990-08-07,0.7725
1990-08-08,0.7707
1990-08-09,0.772
1990-08-10,0.7635
1990-08-11,0.7653
1990-08-12,0.7635
1990-08-13,0.7658
1990-08-14,0.7663
1990-08-15,0.7684
1990-08-16,0.7691
1990-08-17,0.7722
1990-08-18,0.774
1990-08-19,0.7768
1990-08-20,0.7773
1990-08-21,0.7692
1990-08-22,0.77
1990-08-23,0.7735
1990-08-24,0.7667
1990-08-25,0.7677
1990-08-26,0.766
1990-08-27,0.7581
1990-08-28,0.7675
1990-08-29,0.766
1990-08-30,0.7701
1990-08-31,0.771
1990-09-01,0.7734
1990-09-02,0.773
1990-09-03,0.774
1990-09-04,0.774
1990-09-05,0.7675
1990-09-06,0.77
1990-09-07,0.772
1990-09-08,0.7735
1990-09-09,0.7784
1990-09-10,0.7793
1990-09-11,0.7775
1990-09-12,0.7785
1990-09-13,0.7728
1990-09-14,0.7733
1990-09-15,0.7728
1990-09-16,0.7765
1990-09-17,0.781
1990-09-18,0.7889
1990-09-19,0.7817
1990-09-20,0.7778
1990-09-21,0.782
1990-09-22,0.7841
1990-09-23,0.7787
1990-09-24,0.776
1990-09-25,0.7812
1990-09-26,0.7836
1990-09-27,0.785
1990-09-28,0.7826
1990-09-29,0.782
1990-09-30,0.7817
1990-10-01,0.7765
1990-10-02,0.7787
1990-10-03,0.7816
1990-10-04,0.7796
1990-10-05,0.7793
1990-10-06,0.7809
1990-10-07,0.7875
1990-10-08,0.7869
1990-10-09,0.7886
1990-10-10,0.788
1990-10-11,0.7873
1990-10-12,0.788
1990-10-13,0.7838
1990-10-14,0.7833
1990-10-15,0.784
1990-10-16,0.7836
1990-10-17,0.7853
1990-10-18,0.7848
1990-10-19,0.7763
1990-10-20,0.7727
1990-10-21,0.7669
1990-10-22,0.7673
1990-10-23,0.7651
1990-10-24,0.7688
1990-10-25,0.7713
1990-10-26,0.7679
1990-10-27,0.7696
1990-10-28,0.7683
1990-10-29,0.7712
1990-10-30,0.773
1990-10-31,0.771
1990-11-01,0.7713
1990-11-02,0.7742
1990-11-03,0.775
1990-11-04,0.773
1990-11-05,0.775
1990-11-06,0.775
1990-11-07,0.7786
1990-11-08,0.7842
1990-11-09,0.786
1990-11-10,0.7846
1990-11-11,0.7857
1990-11-12,0.7871
1990-11-13,0.7818
1990-11-14,0.7844
1990-11-15,0.7803
1990-11-16,0.7799
1990-11-17,0.779
1990-11-18,0.7776
1990-11-19,0.7728
1990-11-20,0.7703
1990-11-21,0.775
1990-11-22,0.7741
1990-11-23,0.7768
1990-11-24,0.7795
1990-11-25,0.7792
1990-11-26,0.7788
1990-11-27,0.778
1990-11-28,0.7764
1990-11-29,0.7795
1990-11-30,0.7807
1990-12-01,0.7838
1990-12-02,0.783
1990-12-03,0.7838
1990-12-04,0.7791
1990-12-05,0.7788
1990-12-06,0.7835
1990-12-07,0.7834
1990-12-08,0.7825
1990-12-09,0.7824
1990-12-10,0.7765
1990-12-11,0.7715
1990-12-12,0.7565
1990-12-13,0.759
1990-12-14,0.7603
1990-12-15,0.7605
1990-12-16,0.7565
1990-12-17,0.7594
1990-12-18,0.7575
1990-12-19,0.76
1990-12-20,0.7603
1990-12-21,0.7507
1990-12-22,0.7515
1990-12-23,0.752
1990-12-24,0.755
1990-12-25,0.7548
1990-12-26,0.754
1990-12-27,0.7598
1990-12-28,0.763
1990-12-29,0.7631
1990-12-30,0.7641
1990-12-31,0.765
1991-01-01,0.7645
1991-01-02,0.765
1991-01-03,0.767
1991-01-04,0.7675
1991-01-05,0.767
1991-01-06,0.7651
1991-01-07,0.7643
1991-01-08,0.7642
1991-01-09,0.7651
1991-01-10,0.7665
1991-01-11,0.765
1991-01-12,0.7664
1991-01-13,0.7664
1991-01-14,0.77
1991-01-15,0.7738
1991-01-16,0.7755
1991-01-17,0.776
1991-01-18,0.773
1991-01-19,0.7785
1991-01-20,0.7755
1991-01-21,0.7738
1991-01-22,0.7751
1991-01-23,0.7758
1991-01-24,0.7761
1991-01-25,0.7792
1991-01-26,0.778
1991-01-27,0.7765
1991-01-28,0.779
1991-01-29,0.7802
1991-01-30,0.7822
1991-01-31,0.7835
1991-02-01,0.7825
1991-02-02,0.7835
1991-02-03,0.7839
1991-02-04,0.7825
1991-02-05,0.7821
1991-02-06,0.7785
1991-02-07,0.7776
1991-02-08,0.779
1991-02-09,0.7815
1991-02-10,0.784
1991-02-11,0.7871
1991-02-12,0.7855
1991-02-13,0.7845
1991-02-14,0.7841
1991-02-15,0.7845
1991-02-16,0.7842
1991-02-17,0.7852
1991-02-18,0.7781
1991-02-19,0.7848
1991-02-20,0.7856
1991-02-21,0.7867
1991-02-22,0.7905
1991-02-23,0.7878
1991-02-24,0.7896
1991-02-25,0.7958
1991-02-26,0.7963
1991-02-27,0.7995
1991-02-28,0.7957
1991-03-01,0.7974
1991-03-02,0.8011
1991-03-03,0.8002
1991-03-04,0.7961
1991-03-05,0.7935
1991-03-06,0.7965
1991-03-07,0.7971
1991-03-08,0.8004
1991-03-09,0.7953
1991-03-10,0.794
1991-03-11,0.796
1991-03-12,0.7934
1991-03-13,0.7955
1991-03-14,0.7943
1991-03-15,0.797
1991-03-16,0.8
1991-03-17,0.7955
1991-03-18,0.798
1991-03-19,0.7968
1991-03-20,0.795
1991-03-21,0.784
1991-03-22,0.7854
1991-03-23,0.7855
1991-03-24,0.7871
1991-03-25,0.7845
1991-03-26,0.7791
1991-03-27,0.7845
1991-03-28,0.7836
1991-03-29,0.7854
1991-03-30,0.7863
1991-03-31,0.7851
1991-04-01,0.7866
1991-04-02,0.7883
1991-04-03,0.789
1991-04-04,0.7911
1991-04-05,0.7915
1991-04-06,0.7918
1991-04-07,0.7888
1991-04-08,0.7868
1991-04-09,0.7844
1991-04-10,0.784
1991-04-11,0.7855
1991-04-12,0.7851
1991-04-13,0.7818
1991-04-14,0.7784
1991-04-15,0.7735
1991-04-16,0.7728
1991-04-17,0.772
1991-04-18,0.7711
1991-04-19,0.7705
1991-04-20,0.773
1991-04-21,0.7737
1991-04-22,0.7731
1991-04-23,0.7715
1991-04-24,0.767
1991-04-25,0.7604
1991-04-26,0.7601
1991-04-27,0.7608
1991-04-28,0.7624
1991-04-29,0.7597
1991-04-30,0.7593
1991-05-01,0.7565
1991-05-02,0.7572
1991-05-03,0.7641
1991-05-04,0.7551
1991-05-05,0.7564
1991-05-06,0.7465
1991-05-07,0.7365
1991-05-08,0.742
1991-05-09,0.7458
1991-05-10,0.7415
1991-05-11,0.7419
1991-05-12,0.743
1991-05-13,0.7504
1991-05-14,0.7513
1991-05-15,0.7449
1991-05-16,0.7398
1991-05-17,0.7383
1991-05-18,0.7443
1991-05-19,0.7431
1991-05-20,0.748
1991-05-21,0.7521
1991-05-22,0.7524
1991-05-23,0.749
1991-05-24,0.7457
1991-05-25,0.748
1991-05-26,0.751
1991-05-27,0.7481
1991-05-28,0.751
1991-05-29,0.7514
1991-05-30,0.7535
1991-05-31,0.754
1991-06-01,0.7541
1991-06-02,0.7572
1991-06-03,0.7558
1991-06-04,0.7534
1991-06-05,0.751
1991-06-06,0.7525
1991-06-07,0.7487
1991-06-08,0.7533
1991-06-09,0.7538
1991-06-10,0.7545
1991-06-11,0.7527
1991-06-12,0.7521
1991-06-13,0.7542
1991-06-14,0.7552
1991-06-15,0.7567
1991-06-16,0.7571
1991-06-17,0.7547
1991-06-18,0.7536
1991-06-19,0.7547
1991-06-20,0.7549
1991-06-21,0.7573
1991-06-22,0.7602
1991-06-23,0.7599
1991-06-24,0.7593
1991-06-25,0.7605
1991-06-26,0.7614
1991-06-27,0.7638
1991-06-28,0.7645
1991-06-29,0.7659
1991-06-30,0.767
1991-07-01,0.77
1991-07-02,0.7666
1991-07-03,0.7663
1991-07-04,0.7665
1991-07-05,0.7632
1991-07-06,0.7628
1991-07-07,0.7595
1991-07-08,0.7628
1991-07-09,0.7637
1991-07-10,0.7638
1991-07-11,0.7661
1991-07-12,0.765
1991-07-13,0.7667
1991-07-14,0.767
1991-07-15,0.7645
1991-07-16,0.7625
1991-07-17,0.757
1991-07-18,0.754
1991-07-19,0.7562
1991-07-20,0.7552
1991-07-21,0.7589
1991-07-22,0.7565
1991-07-23,0.7538
1991-07-24,0.7582
1991-07-25,0.7552
1991-07-26,0.7513
1991-07-27,0.7541
1991-07-28,0.7503
1991-07-29,0.7523
1991-07-30,0.7525
1991-07-31,0.7574
1991-08-01,0.7574
1991-08-02,0.7583
1991-08-03,0.7575
1991-08-04,0.7566
1991-08-05,0.7582
1991-08-06,0.7573
1991-08-07,0.7585
1991-08-08,0.758
1991-08-09,0.7582
1991-08-10,0.7568
1991-08-11,0.7574
1991-08-12,0.7575
1991-08-13,0.763
1991-08-14,0.7629
1991-08-15,0.763
1991-08-16,0.764
1991-08-17,0.7631
1991-08-18,0.7617
1991-08-19,0.7616
1991-08-20,0.7586
1991-08-21,0.7535
1991-08-22,0.7534
1991-08-23,0.7525
1991-08-24,0.7545
1991-08-25,0.7522
1991-08-26,0.7495
1991-08-27,0.7518
1991-08-28,0.7518
1991-08-29,0.75
1991-08-30,0.7465
1991-08-31,0.7471
1991-09-01,0.7477
1991-09-02,0.7469
1991-09-03,0.7421
1991-09-04,0.7444
1991-09-05,0.7447
1991-09-06,0.7436
1991-09-07,0.7466
1991-09-08,0.7441
1991-09-09,0.7463
1991-09-10,0.7456
1991-09-11,0.7469
1991-09-12,0.7441
1991-09-13,0.7432
1991-09-14,0.7443
1991-09-15,0.7455
1991-09-16,0.7465
1991-09-17,0.748
1991-09-18,0.7481
1991-09-19,0.746
1991-09-20,0.7437
1991-09-21,0.7438
1991-09-22,0.7437
1991-09-23,0.7441
1991-09-24,0.7443
1991-09-25,0.7439
1991-09-26,0.7414
1991-09-27,0.7363
1991-09-28,0.7372
1991-09-29,0.7287
1991-09-30,0.7182
1991-10-01,0.7187
1991-10-02,0.7211
1991-10-03,0.7203
1991-10-04,0.7255
1991-10-05,0.722
1991-10-06,0.7207
1991-10-07,0.7137
1991-10-08,0.7112
1991-10-09,0.7149
1991-10-10,0.7165
1991-10-11,0.717
1991-10-12,0.7156
1991-10-13,0.7174
1991-10-14,0.7181
1991-10-15,0.72
1991-10-16,0.72
1991-10-17,0.7128
1991-10-18,0.7183
1991-10-19,0.7225
1991-10-20,0.7254
1991-10-21,0.7331
1991-10-22,0.7311
1991-10-23,0.7302
1991-10-24,0.7317
1991-10-25,0.7325
1991-10-26,0.7235
1991-10-27,0.722
1991-10-28,0.7233
1991-10-29,0.7225
1991-10-30,0.7165
1991-10-31,0.713
1991-11-01,0.7139
1991-11-02,0.7141
1991-11-03,0.7165
1991-11-04,0.7205
1991-11-05,0.7194
1991-11-06,0.7208
1991-11-07,0.7176
1991-11-08,0.7222
1991-11-09,0.7223
1991-11-10,0.7224
1991-11-11,0.7196
1991-11-12,0.7187
1991-11-13,0.715
1991-11-14,0.7184
1991-11-15,0.7201
1991-11-16,0.7184
1991-11-17,0.7143
1991-11-18,0.691
1991-11-19,0.695
1991-11-20,0.6909
1991-11-21,0.6968
1991-11-22,0.689
1991-11-23,0.6935
1991-11-24,0.6936
1991-11-25,0.6881
1991-11-26,0.6842
1991-11-27,0.6881
1991-11-28,0.6839
1991-11-29,0.6843
1991-11-30,0.6893
1991-12-01,0.6822
1991-12-02,0.6843
1991-12-03,0.6829
1991-12-04,0.6887
1991-12-05,0.6916
1991-12-06,0.6924
1991-12-07,0.6934
1991-12-08,0.6942
1991-12-09,0.6902
1991-12-10,0.6873
1991-12-11,0.6881
1991-12-12,0.6894
1991-12-13,0.6916
1991-12-14,0.691
1991-12-15,0.6904
1991-12-16,0.6885
1991-12-17,0.6895
1991-12-18,0.6894
1991-12-19,0.689
1991-12-20,0.6818
1991-12-21,0.6735
1991-12-22,0.67
1991-12-23,0.669
1991-12-24,0.672
1991-12-25,0.6736
1991-12-26,0.6736
1991-12-27,0.6698
1991-12-28,0.6723
1991-12-29,0.669
1991-12-30,0.6655
1991-12-31,0.672
1992-01-01,0.672
1992-01-02,0.675
1992-01-03,0.6735
1992-01-04,0.6812
1992-01-05,0.6793
1992-01-06,0.6755
1992-01-07,0.6782
1992-01-08,0.6762
1992-01-09,0.6694
1992-01-10,0.67
1992-01-11,0.6705
1992-01-12,0.6764
1992-01-13,0.6774
1992-01-14,0.6871
1992-01-15,0.6864
1992-01-16,0.6878
1992-01-17,0.69
1992-01-18,0.6961
1992-01-19,0.694
1992-01-20,0.6955
1992-01-21,0.7052
1992-01-22,0.707
1992-01-23,0.7053
1992-01-24,0.7125
1992-01-25,0.7077
1992-01-26,0.7062
1992-01-27,0.701
1992-01-28,0.7044
1992-01-29,0.7067
1992-01-30,0.7108
1992-01-31,0.7031
1992-02-01,0.7051
1992-02-02,0.7096
1992-02-03,0.7137
1992-02-04,0.7157
1992-02-05,0.7147
1992-02-06,0.7035
1992-02-07,0.7052
1992-02-08,0.7089
1992-02-09,0.709
1992-02-10,0.7078
1992-02-11,0.7108
1992-02-12,0.7044
1992-02-13,0.697
1992-02-14,0.697
1992-02-15,0.7092
1992-02-16,0.7085
1992-02-17,0.7115
1992-02-18,0.7175
1992-02-19,0.7213
1992-02-20,0.7209
1992-02-21,0.7164
1992-02-22,0.7192
1992-02-23,0.7157
1992-02-24,0.7132
1992-02-25,0.721
1992-02-26,0.6982
1992-02-27,0.7026
1992-02-28,0.6993
1992-02-29,0.7005
1992-03-01,0.7055
1992-03-02,0.7021
1992-03-03,0.7021
1992-03-04,0.6912
1992-03-05,0.6925
1992-03-06,0.6934
1992-03-07,0.6948
1992-03-08,0.6941
1992-03-09,0.7001
1992-03-10,0.6984
1992-03-11,0.6862
1992-03-12,0.678
1992-03-13,0.6812
1992-03-14,0.675
1992-03-15,0.6733
1992-03-16,0.6683
1992-03-17,0.6745
1992-03-18,0.6763
1992-03-19,0.6795
1992-03-20,0.675
1992-03-21,0.6765
1992-03-22,0.6765
1992-03-23,0.6743
1992-03-24,0.6775
1992-03-25,0.6738
1992-03-26,0.6698
1992-03-27,0.6694
1992-03-28,0.6677
1992-03-29,0.6695
1992-03-30,0.6663
1992-03-31,0.6663
1992-04-01,0.6692
1992-04-02,0.6766
1992-04-03,0.6792
1992-04-04,0.6848
1992-04-05,0.6824
1992-04-06,0.6795
1992-04-07,0.6775
1992-04-08,0.6775
1992-04-09,0.68
1992-04-10,0.6787
1992-04-11,0.677
1992-04-12,0.677
1992-04-13,0.6775
1992-04-14,0.677
1992-04-15,0.678
1992-04-16,0.679
1992-04-17,0.6773
1992-04-18,0.6758
1992-04-19,0.6771
1992-04-20,0.688
1992-04-21,0.6895
1992-04-22,0.69
1992-04-23,0.688
1992-04-24,0.6866
1992-04-25,0.6795
1992-04-26,0.6805
1992-04-27,0.686
1992-04-28,0.6823
1992-04-29,0.678
1992-04-30,0.678
1992-05-01,0.6795
1992-05-02,0.6732
1992-05-03,0.6747
1992-05-04,0.6747
1992-05-05,0.6771
1992-05-06,0.6665
1992-05-07,0.669
1992-05-08,0.671
1992-05-09,0.6702
1992-05-10,0.666
1992-05-11,0.6707
1992-05-12,0.671
1992-05-13,0.668
1992-05-14,0.656
1992-05-15,0.6483
1992-05-16,0.6498
1992-05-17,0.658
1992-05-18,0.6555
1992-05-19,0.6494
1992-05-20,0.651
1992-05-21,0.646
1992-05-22,0.6497
1992-05-23,0.6508
1992-05-24,0.6512
1992-05-25,0.6496
1992-05-26,0.654
1992-05-27,0.655
1992-05-28,0.651
1992-05-29,0.6542
1992-05-30,0.65
1992-05-31,0.6475
1992-06-01,0.645
1992-06-02,0.645
1992-06-03,0.6475
1992-06-04,0.646
1992-06-05,0.6465
1992-06-06,0.6545
1992-06-07,0.655
1992-06-08,0.658
1992-06-09,0.659
1992-06-10,0.6613
1992-06-11,0.663
1992-06-12,0.662
1992-06-13,0.661
1992-06-14,0.6642
1992-06-15,0.668
1992-06-16,0.67
1992-06-17,0.669
1992-06-18,0.6693
1992-06-19,0.6671
1992-06-20,0.6661
1992-06-21,0.667
1992-06-22,0.6655
1992-06-23,0.674
1992-06-24,0.673
1992-06-25,0.676
1992-06-26,0.6727
1992-06-27,0.6737
1992-06-28,0.67
1992-06-29,0.6675
1992-06-30,0.6625
1992-07-01,0.6583
1992-07-02,0.6537
1992-07-03,0.6568
1992-07-04,0.663
1992-07-05,0.6618
1992-07-06,0.6615
1992-07-07,0.6608
1992-07-08,0.663
1992-07-09,0.6645
1992-07-10,0.662
1992-07-11,0.6598
1992-07-12,0.6584
1992-07-13,0.658
1992-07-14,0.666
1992-07-15,0.669
1992-07-16,0.671
1992-07-17,0.6665
1992-07-18,0.672
1992-07-19,0.671
1992-07-20,0.6712
1992-07-21,0.6715
1992-07-22,0.6728
1992-07-23,0.6727
1992-07-24,0.674
1992-07-25,0.679
1992-07-26,0.6785
1992-07-27,0.6792
1992-07-28,0.68
1992-07-29,0.6771
1992-07-30,0.6783
1992-07-31,0.6785
1992-08-01,0.6788
1992-08-02,0.674
1992-08-03,0.6762
1992-08-04,0.6783
1992-08-05,0.684
1992-08-06,0.6845
1992-08-07,0.686
1992-08-08,0.684
1992-08-09,0.6865
1992-08-10,0.6865
1992-08-11,0.6905
1992-08-12,0.6902
1992-08-13,0.6908
1992-08-14,0.69
1992-08-15,0.696
1992-08-16,0.701
1992-08-17,0.7034
1992-08-18,0.7025
1992-08-19,0.703
1992-08-20,0.708
1992-08-21,0.7085
1992-08-22,0.709
1992-08-23,0.7086
1992-08-24,0.7085
1992-08-25,0.7165
1992-08-26,0.715
1992-08-27,0.715
1992-08-28,0.7145
1992-08-29,0.715
1992-08-30,0.718
1992-08-31,0.7175
1992-09-01,0.718
1992-09-02,0.7148
1992-09-03,0.7115
1992-09-04,0.7085
1992-09-05,0.7115
1992-09-06,0.715
1992-09-07,0.7135
1992-09-08,0.7195
1992-09-09,0.7245
1992-09-10,0.7245
1992-09-11,0.7212
1992-09-12,0.712
1992-09-13,0.7147
1992-09-14,0.7058
1992-09-15,0.706
1992-09-16,0.714
1992-09-17,0.719
1992-09-18,0.717
1992-09-19,0.7142
1992-09-20,0.709
1992-09-21,0.7102
1992-09-22,0.7183
1992-09-23,0.718
1992-09-24,0.713
1992-09-25,0.7125
1992-09-26,0.7127
1992-09-27,0.7088
1992-09-28,0.7095
1992-09-29,0.7103
1992-09-30,0.7095
1992-10-01,0.711
1992-10-02,0.7113
1992-10-03,0.7047
1992-10-04,0.699
1992-10-05,0.7015
1992-10-06,0.7033
1992-10-07,0.7045
1992-10-08,0.7125
1992-10-09,0.724
1992-10-10,0.7227
1992-10-11,0.7235
1992-10-12,0.7215
1992-10-13,0.723
1992-10-14,0.723
1992-10-15,0.7175
1992-10-16,0.715
1992-10-17,0.7162
1992-10-18,0.7135
1992-10-19,0.7185
1992-10-20,0.7168
1992-10-21,0.7203
1992-10-22,0.716
1992-10-23,0.712
1992-10-24,0.7135
1992-10-25,0.7115
1992-10-26,0.706
1992-10-27,0.7117
1992-10-28,0.7148
1992-10-29,0.7155
1992-10-30,0.719
1992-10-31,0.7242
1992-11-01,0.7221
1992-11-02,0.7175
1992-11-03,0.7224
1992-11-04,0.726
1992-11-05,0.7275
1992-11-06,0.728
1992-11-07,0.7288
1992-11-08,0.7288
1992-11-09,0.734
1992-11-10,0.7352
1992-11-11,0.7345
1992-11-12,0.7323
1992-11-13,0.7327
1992-11-14,0.7385
1992-11-15,0.7401
1992-11-16,0.7377
1992-11-17,0.7378
1992-11-18,0.7345
1992-11-19,0.7335
1992-11-20,0.7338
1992-11-21,0.7345
1992-11-22,0.734
1992-11-23,0.7355
1992-11-24,0.7288
1992-11-25,0.7312
1992-11-26,0.7305
1992-11-27,0.732
1992-11-28,0.738
1992-11-29,0.7438
1992-11-30,0.739
1992-12-01,0.7328
1992-12-02,0.7278
1992-12-03,0.721
1992-12-04,0.722
1992-12-05,0.7247
1992-12-06,0.731
1992-12-07,0.7288
1992-12-08,0.726
1992-12-09,0.7263
1992-12-10,0.7278
1992-12-11,0.729
1992-12-12,0.7315
1992-12-13,0.7348
1992-12-14,0.737
1992-12-15,0.7343
1992-12-16,0.7332
1992-12-17,0.7308
1992-12-18,0.7325
1992-12-19,0.735
1992-12-20,0.735
1992-12-21,0.7395
1992-12-22,0.7432
1992-12-23,0.7433
1992-12-24,0.7388
1992-12-25,0.736
1992-12-26,0.7389
1992-12-27,0.7375
1992-12-28,0.7345
1992-12-29,0.7325
1992-12-30,0.7355
1992-12-31,0.7415
1993-01-01,0.7403
1993-01-02,0.741
1993-01-03,0.743
1993-01-04,0.7455
1993-01-05,0.7415
1993-01-06,0.7405
1993-01-07,0.7402
1993-01-08,0.7415
1993-01-09,0.7398
1993-01-10,0.7382
1993-01-11,0.7352
1993-01-12,0.7355
1993-01-13,0.7405
1993-01-14,0.7442
1993-01-15,0.7445
1993-01-16,0.742
1993-01-17,0.743
1993-01-18,0.7444
1993-01-19,0.743
1993-01-20,0.742
1993-01-21,0.7404
1993-01-22,0.7435
1993-01-23,0.745
1993-01-24,0.745
1993-01-25,0.7436
1993-01-26,0.7442
1993-01-27,0.7415
1993-01-28,0.7435
1993-01-29,0.7442
1993-01-30,0.7427
1993-01-31,0.7426
1993-02-01,0.7467
1993-02-02,0.7357
1993-02-03,0.7393
1993-02-04,0.7397
1993-02-05,0.7391
1993-02-06,0.7403
1993-02-07,0.74
1993-02-08,0.74
1993-02-09,0.7406
1993-02-10,0.7382
1993-02-11,0.7392
1993-02-12,0.7395
1993-02-13,0.7377
1993-02-14,0.7355
1993-02-15,0.7358
1993-02-16,0.7375
1993-02-17,0.735
1993-02-18,0.735
1993-02-19,0.7373
1993-02-20,0.7355
1993-02-21,0.7366
1993-02-22,0.7315
1993-02-23,0.7363
1993-02-24,0.7363
1993-02-25,0.742
1993-02-26,0.7433
1993-02-27,0.7427
1993-02-28,0.742
1993-03-01,0.741
1993-03-02,0.7423
1993-03-03,0.7424
1993-03-04,0.749
1993-03-05,0.7545
1993-03-06,0.7525
1993-03-07,0.7565
1993-03-08,0.755
1993-03-09,0.7515
1993-03-10,0.753
1993-03-11,0.751
1993-03-12,0.7535
1993-03-13,0.7575
1993-03-14,0.7618
1993-03-15,0.763
1993-03-16,0.76
1993-03-17,0.7596
1993-03-18,0.762
1993-03-19,0.7634
1993-03-20,0.7689
1993-03-21,0.7679
1993-03-22,0.7693
1993-03-23,0.77
1993-03-24,0.769
1993-03-25,0.7697
1993-03-26,0.7695
1993-03-27,0.7742
1993-03-28,0.774
1993-03-29,0.775
1993-03-30,0.7755
1993-03-31,0.7778
1993-04-01,0.775
1993-04-02,0.7765
1993-04-03,0.7753
1993-04-04,0.775
